case_id,split_candidate,category_id,category_name,extra_requirement,is_substitutable,proposed_expected_status,proposed_expected_mode,proposed_expected_constraints,proposed_expected_preference_groups,scenario_type,grounding_source,generation_reason,candidate_origin,source_reference,existing_test_case_id,parser_exposure,evaluation_partition_candidate,reviewer_status,corrected_expected_status,corrected_expected_mode,corrected_expected_constraints,corrected_expected_preference_groups,proposed_expected_effective_requirement_mode,corrected_expected_effective_requirement_mode,proposed_expected_passthrough_text,corrected_expected_passthrough_text,reviewer_note,expected_effective_requirement_mode,expected_passthrough_text
part-a-v2-2-151,CHALLENGE,health-functional-food:blood_sugar_metabolic,혈당·대사,"정 포함은 필수이고, 분말 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":1,""value"":""정"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":2,""value"":""분말"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-152,CHALLENGE,health-functional-food:dietary_fiber,식이섬유·체중관리,"환 포함은 필수이고, 정 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":2,""value"":""환"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":3,""value"":""정"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-153,CHALLENGE,health-functional-food:eye_health,눈 건강,"정 포함은 필수이고, 기타 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":3,""value"":""정"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":4,""value"":""기타"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-154,CHALLENGE,health-functional-food:heart_blood,혈행·혈압 건강,"액상 포함은 필수이고, 과립 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":4,""value"":""액상"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":5,""value"":""과립"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-155,CHALLENGE,health-functional-food:joint_health,관절·연골 건강,"환 포함은 필수이고, 과립 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":5,""value"":""환"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":6,""value"":""과립"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-156,CHALLENGE,health-functional-food:liver_health,간 건강,"젤리 포함은 필수이고, 밀크씨슬(카르두스 마리아누스) 추출물 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""밀크씨슬(카르두스 마리아누스) 추출물"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-157,CHALLENGE,health-functional-food:male_health,남성 건강,"쏘팔메토 열매 추출물 포함은 필수이고, 쏘팔메토 열매 추출물, 옥타코사놀 함유 유지 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""쏘팔메토 열매 추출물"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""쏘팔메토 열매 추출물, 옥타코사놀 함유 유지"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-158,CHALLENGE,health-functional-food:omega_fatty_acid,오메가·지방산,"오메가-3지방산함유유지 제품 포함은 필수이고, 필수 지방산 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""오메가-3지방산함유유지 제품"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":3,""value"":""필수 지방산"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-159,CHALLENGE,health-functional-food:other_functional,기타 기능성 건강식품,"과립 포함은 필수이고, 바 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":9,""value"":""과립"",""constraint_type"":""MUST""},{""facet_name"":""product_form"",""value_code"":10,""value"":""바"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-160,CHALLENGE,health-functional-food:probiotics,유산균·프로바이오틱스,"겔 포함은 필수이고, 프로바이오틱스 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""product_form"",""value_code"":10,""value"":""겔"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""프로바이오틱스"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-161,CHALLENGE,health-functional-food:propolis,프로폴리스,"프로폴리스추출물(원료성) 포함은 필수이고, 프로폴리스추출물(원료성), 프로폴리스추출물 제품 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":3,""value"":""프로폴리스추출물(원료성)"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":4,""value"":""프로폴리스추출물(원료성), 프로폴리스추출물 제품"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-162,CHALLENGE,health-functional-food:protein,단백질,"판토텐산, 비오틴 포함은 필수이고, 바나바잎 추출물, 크롬 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":4,""value"":""판토텐산, 비오틴"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":6,""value"":""바나바잎 추출물, 크롬"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,"QA 확인 완료: V2.2 taxonomy에서는 '판토텐산, 비오틴'을 code 4로 유지하고 순서가 뒤집힌 중복 value는 제거했다.",STRUCTURED,
