demand_id,catalog_id,category_id,extra_requirement,desired_price_min,desired_price_max,price_option,quantity,is_substitutable,processed_at,synthetic,source_note,profile_id,generation_parent_id,product_reference,product_name,service_category_key,service_category_name,product_base_facets,expected_facet_profile,scenario_type,data_origin,reference_source,augmentation_method,price_origin,quantity_origin,substitution_origin,taxonomy_version,sampling_seed,generation_status
synthetic-grounded-demand-00001,catalog-seed-2004001508163,health-functional-food:blood_sugar_metabolic,정,10000,30000.0,10000_TO_30000,1,False,,True,synthetic grounded demand; not observed user demand,profile-BLOOD_SUGAR_METABOLIC:2004001508163:0,profile-BLOOD_SUGAR_METABOLIC:2004001508163:0,2004001508163,,health-functional-food:blood_sugar_metabolic,혈당·대사,{},"{""product_form"":{""code"":1,""value"":""정""}}",ALIAS_EXPRESSION,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00002,catalog-seed-2015001201256,health-functional-food:dietary_fiber,가능하면 환인 제품으로 부탁해요.,30000,50000.0,30000_TO_50000,1,True,,True,synthetic grounded demand; not observed user demand,profile-DIETARY_FIBER:2015001201256:1,profile-DIETARY_FIBER:2015001201256:1,2015001201256,,health-functional-food:dietary_fiber,식이섬유·체중관리,{},"{""product_form"":{""code"":2,""value"":""환""}}",PARAPHRASE,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00003,catalog-seed-20220011370117,health-functional-food:eye_health,정 또는 분말도 괜찮아요.,50000,100000.0,50000_TO_100000,1,True,,True,synthetic grounded demand; not observed user demand,profile-EYE_HEALTH:20220011370117:2,profile-EYE_HEALTH:20220011370117:2,20220011370117,,health-functional-food:eye_health,눈 건강,{},"{""product_form"":{""code"":3,""value"":""정""}}",MULTI_VALUE_CANDIDATE,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00004,catalog-seed-20040016020292,health-functional-food:heart_blood,액상,10000,30000.0,10000_TO_30000,1,False,,True,synthetic grounded demand; not observed user demand,profile-HEART_BLOOD:20040016020292:3,profile-HEART_BLOOD:20040016020292:3,20040016020292,,health-functional-food:heart_blood,혈행·혈압 건강,{},"{""product_form"":{""code"":4,""value"":""액상""}}",ALIAS_EXPRESSION,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00005,catalog-seed-20040020006948,health-functional-food:joint_health,환 또는 겔도 괜찮아요.,0,10000.0,UNDER_10000,3,False,,True,synthetic grounded demand; not observed user demand,profile-JOINT_HEALTH:20040020006948:4,profile-JOINT_HEALTH:20040020006948:4,20040020006948,,health-functional-food:joint_health,관절·연골 건강,{},"{""product_form"":{""code"":5,""value"":""환""}}",MULTI_VALUE_CANDIDATE,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00006,catalog-seed-20040017039648,health-functional-food:liver_health,,30000,50000.0,30000_TO_50000,2,False,,True,synthetic grounded demand; not observed user demand,profile-LIVER_HEALTH:20040017039648:5,profile-LIVER_HEALTH:20040017039648:5,20040017039648,,health-functional-food:liver_health,간 건강,{},"{""product_form"":{""code"":6,""value"":""젤리""}}",NO_EXTRA_REQUIREMENT,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00007,catalog-seed-2020000474665,health-functional-food:male_health,쏘팔메토 열매 추출물 제품이면 좋겠어요.,100000,,OVER_100000,1,True,,True,synthetic grounded demand; not observed user demand,profile-MALE_HEALTH:2020000474665:6,profile-MALE_HEALTH:2020000474665:6,2020000474665,,health-functional-food:male_health,남성 건강,{},"{""functional_ingredients"":{""code"":1,""value"":""쏘팔메토 열매 추출물""}}",NORMAL_MULTI_FACET,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00008,catalog-seed-20040020006811,health-functional-food:omega_fatty_acid,오메가-3지방산함유유지 제품,30000,50000.0,30000_TO_50000,3,True,,True,synthetic grounded demand; not observed user demand,profile-OMEGA_FATTY_ACID:20040020006811:7,profile-OMEGA_FATTY_ACID:20040020006811:7,20040020006811,,health-functional-food:omega_fatty_acid,오메가·지방산,{},"{""functional_ingredients"":{""code"":2,""value"":""오메가-3지방산함유유지 제품""}}",NORMAL_SINGLE_FACET,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00009,catalog-seed-20230029284234,health-functional-food:other_functional,과립,10000,30000.0,10000_TO_30000,3,True,,True,synthetic grounded demand; not observed user demand,profile-OTHER_FUNCTIONAL:20230029284234:8,profile-OTHER_FUNCTIONAL:20230029284234:8,20230029284234,,health-functional-food:other_functional,기타 기능성 건강식품,{},"{""product_form"":{""code"":9,""value"":""과립""}}",NORMAL_SINGLE_FACET,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
synthetic-grounded-demand-00010,catalog-seed-20140017002183,health-functional-food:probiotics,겔 프로바이오틱스 제품이면 좋겠어요.,100000,,OVER_100000,1,True,,True,synthetic grounded demand; not observed user demand,profile-PROBIOTICS:20140017002183:9,profile-PROBIOTICS:20140017002183:9,20140017002183,,health-functional-food:probiotics,유산균·프로바이오틱스,{},"{""product_form"":{""code"":10,""value"":""겔""},""functional_ingredients"":{""code"":1,""value"":""프로바이오틱스""}}",NORMAL_MULTI_FACET,SYNTHETIC_GROUNDED,ESCI+xPQA+grounded_demand_v2_1000,PROFILE_TEMPLATE_WITH_REFERENCE_STYLE,MOCK_POLICY,MOCK_POLICY,MOCK_POLICY,v2.1,42,CANDIDATE_NEEDS_LABELING
