eval_id,expected_moq_attainment_ratio,expected_supply_coverage_ratio,expected_moq_status,expected_supply_status,expected_request_result,primary_scenario,scenario_tags
SELLER_EVAL_001,1.05,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_002,1.1,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_003,1.15,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_004,1.2,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_005,1.25,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_006,1.3,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_007,1.35,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_008,1.4,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_009,1.45,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_010,1.5,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_011,1.55,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_012,1.6,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_013,1.65,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_014,1.7,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
